date,time,am_pm,stool,urine
2019-12-03,1:00,AM,1,1
2019-12-03,2:00,AM,1,1
2019-12-03,3:00,AM,0,1
2019-12-03,4:00,AM,1,0
2019-12-03,5:00,AM,1,1
2019-12-03,6:00,AM,1,1
2019-12-03,11:30,AM,0,1
2019-12-03,12:10,PM,1,1
2019-12-03,12:25,PM,1,0
2019-12-03,1:00,PM,0,1
2019-12-03,5:10,PM,0,1
2019-12-03,6:00,PM,0,1
2019-12-03,7:36,PM,0,1
2019-12-03,7:39,PM,1,0
2019-12-03,11:15,PM,0,1
2019-12-03,11:30,PM,0,1
2019-12-04,1:00,AM,1,0
2019-12-04,1:30,AM,0,1
2019-12-04,2:00,AM,0,1
2019-12-04,3:00,AM,1,1
2019-12-04,6:30,AM,1,0
2019-12-04,6:50,AM,1,1
2019-12-04,7:25,AM,0,1
2019-12-04,8:08,AM,0,1
2019-12-04,9:03,AM,1,0
2019-12-04,9:38,AM,0,1
2019-12-04,3:40,PM,1,1
2019-12-04,5:04,PM,1,0
2019-12-04,6:25,PM,0,1
2019-12-04,6:35,PM,1,0
2019-12-04,7:20,PM,0,1
2019-12-04,8:39,PM,0,1
2019-12-04,9:21,PM,1,0
2019-12-04,9:25,PM,1,0
2019-12-05,1:00,AM,1,1
2019-12-05,6:13,AM,1,0
2019-12-05,7:17,AM,0,1
2019-12-05,9:02,AM,0,1
2019-12-05,9:35,AM,1,1
2019-12-05,12:28,PM,0,1
2019-12-05,1:33,PM,0,1
2019-12-05,2:13,PM,1,0
2019-12-05,2:31,PM,0,1
2019-12-05,4:35,PM,1,0
2019-12-05,6:10,PM,1,0
2019-12-05,6:40,PM,0,1
2019-12-05,7:16,PM,1,1
2019-12-05,8:16,PM,1,0
2019-12-05,8:40,PM,1,0
2019-12-05,9:12,PM,0,1
2019-12-06,1:30,AM,1,0
2019-12-06,1:41,AM,1,0
2019-12-06,6:25,AM,1,0
2019-12-06,7:36,AM,0,1
2019-12-06,8:25,AM,0,1
2019-12-06,9:05,AM,1,1
2019-12-06,9:35,AM,0,1
2019-12-06,9:50,AM,1,0
2019-12-06,12:30,PM,1,1
2019-12-06,3:39,PM,1,0
2019-12-06,6:15,PM,0,1
2019-12-06,7:23,PM,1,0
2019-12-06,10:17,PM,1,1
2019-12-06,10:23,PM,1,0
2019-12-06,10:44,PM,1,0
2019-12-07,1:40,AM,0,1
2019-12-07,5:00,AM,1,1
2019-12-07,6:21,AM,1,1
2019-12-07,7:40,AM,1,0
2019-12-07,8:06,AM,0,1
2019-12-07,8:13,AM,1,0
2019-12-07,8:33,AM,1,0
2019-12-07,11:00,AM,1,0
2019-12-07,11:45,AM,0,1
2019-12-07,2:00,PM,0,1
2019-12-07,2:50,PM,0,1
2019-12-07,3:10,PM,0,1
2019-12-07,3:23,PM,0,1
2019-12-07,6:29,PM,1,0
2019-12-07,9:00,PM,1,0
2019-12-07,10:40,PM,0,1
2019-12-07,11:16,PM,0,1
2019-12-07,11:40,PM,1,0
2019-12-08,12:10,AM,1,1
2019-12-08,4:00,AM,0,1
2019-12-08,5:07,AM,1,0
2019-12-08,5:48,AM,1,1
2019-12-08,6:00,AM,1,0
2019-12-08,6:40,AM,1,1
2019-12-08,6:41,AM,1,0
2019-12-08,6:45,AM,1,0
2019-12-08,6:58,AM,0,1
2019-12-08,7:05,AM,1,0
2019-12-08,10:43,AM,1,1
2019-12-08,12:30,PM,1,1
2019-12-08,1:58,PM,0,1
2019-12-08,4:58,PM,1,0
2019-12-08,5:50,PM,0,1
2019-12-08,6:19,PM,1,0
2019-12-08,7:41,PM,1,0
2019-12-09,12:53,AM,0,1
2019-12-09,12:58,AM,1,0
2019-12-09,2:08,AM,0,1
2019-12-09,4:46,AM,0,1
2019-12-09,7:30,AM,1,0
2019-12-09,8:45,AM,0,1
2019-12-09,9:17,AM,0,1
2019-12-09,10:59,AM,1,1
2019-12-09,11:03,AM,1,0
2019-12-09,11:47,AM,1,1
2019-12-09,12:16,AM,0,1
2019-12-09,12:20,AM,1,0
2019-12-09,12:29,AM,1,0
2019-12-09,12:56,AM,0,1
2019-12-09,4:28,AM,0,1
2019-12-09,5:21,AM,1,0
2019-12-09,5:27,AM,1,0
2019-12-09,6:05,AM,1,0
2019-12-09,6:47,AM,0,1
2019-12-09,7:06,AM,1,1
2019-12-09,7:36,AM,1,0
2019-12-09,8:30,AM,0,1
2019-12-09,9:12,AM,1,1
2019-12-10,1:00,AM,1,0
2019-12-10,1:20,AM,1,0
2019-12-10,4:10,AM,1,1
2019-12-10,4:48,AM,0,1
2019-12-10,5:28,AM,1,1
2019-12-10,6:17,AM,1,1
2019-12-10,6:48,AM,1,0
2019-12-10,7:42,AM,1,1
2019-12-10,7:44,AM,1,0
2019-12-10,9:00,AM,0,1
2019-12-10,2:11,PM,1,0
2019-12-10,3:21,PM,0,1
2019-12-10,5:05,PM,1,1
2019-12-10,8:24,PM,0,1
2019-12-10,10:39,PM,0,1
2019-12-10,10:42,PM,0,1
2019-12-10,11:15,PM,1,0
2019-12-10,11:42,PM,0,1
2019-12-10,12:00,PM,1,0
2019-12-11,2:10,AM,1,0
2019-12-11,5:16,AM,1,1
2019-12-11,8:23,AM,1,1
2019-12-11,8:42,AM,1,0
2019-12-11,9:09,AM,1,0
2019-12-11,9:26,AM,0,1
2019-12-11,12:37,PM,1,1
2019-12-11,3:30,PM,0,1
2019-12-11,3:57,PM,1,0
2019-12-11,4:29,PM,0,1
2019-12-11,4:59,PM,0,1
2019-12-11,5:03,PM,0,1
2019-12-11,5:40,PM,1,1
2019-12-11,5:46,PM,1,0
2019-12-11,6:26,PM,0,1
2019-12-11,6:47,PM,0,1
2019-12-11,7:20,PM,1,0
2019-12-11,7:22,PM,0,1
2019-12-12,1:00,AM,1,0
2019-12-12,3:25,AM,1,1
2019-12-12,3:55,AM,0,1
2019-12-12,3:58,AM,1,0
2019-12-12,6:47,AM,0,1
2019-12-12,7:45,AM,1,1
2019-12-12,8:40,AM,1,0
2019-12-12,9:35,AM,0,1
2019-12-12,10:25,AM,0,1
2019-12-12,10:29,AM,1,0
2019-12-12,11:24,AM,1,1
2019-12-12,11:35,AM,1,0
2019-12-12,3:00,PM,1,0
2019-12-12,3:51,PM,0,1
2019-12-12,4:43,PM,0,1
2019-12-12,5:24,PM,1,1
2019-12-12,6:43,PM,1,1
2019-12-12,11:39,PM,1,0
2019-12-13,12:01,AM,1,0
2019-12-13,1:38,AM,0,1
2019-12-13,5:09,AM,1,0
2019-12-13,5:20,AM,1,0
2019-12-13,6:55,AM,0,1
2019-12-13,7:46,AM,0,1
2019-12-13,8:41,AM,0,1
2019-12-13,9:13,AM,1,0
2019-12-13,12:58,PM,1,1
2019-12-13,1:00,PM,1,0
2019-12-13,2:43,PM,1,1
2019-12-13,3:47,PM,0,1
2019-12-13,4:58,PM,1,1
2019-12-13,6:00,PM,0,1
2019-12-13,6:23,PM,0,1
2019-12-14,4:05,AM,1,1
2019-12-14,5:13,AM,1,1
2019-12-14,8:55,AM,1,0
2019-12-14,9:47,AM,1,0
2019-12-14,10:15,AM,0,1
2019-12-14,10:46,AM,0,1
2019-12-14,11:34,AM,0,1
2019-12-14,11:40,AM,0,1
2019-12-14,3:41,PM,1,1
2019-12-14,7:59,PM,0,1
2019-12-14,8:45,PM,0,1
2019-12-14,9:20,PM,0,1
2019-12-15,1:30,AM,1,0
2019-12-15,2:09,AM,1,0
2019-12-15,5:20,AM,1,1
2019-12-15,5:50,AM,1,0
2019-12-15,6:40,AM,1,0
2019-12-15,6:59,AM,1,1
2019-12-15,8:26,AM,0,1
2019-12-15,12:08,PM,1,0
2019-12-15,12:11,PM,1,0
2019-12-15,12:50,PM,0,1
2019-12-15,12:54,PM,1,0
2019-12-15,1:45,PM,0,1
2019-12-15,4:55,PM,1,1
2019-12-15,6:05,PM,1,1
2019-12-15,6:56,PM,0,1
2019-12-15,7:20,PM,0,1
2019-12-15,7:42,PM,1,0
2019-12-15,8:05,PM,0,1
2019-12-15,8:22,PM,1,0
2019-12-16,2:05,AM,1,1
2019-12-16,5:56,AM,1,1
2019-12-16,7:07,AM,0,1
2019-12-16,9:40,AM,1,1
2019-12-16,10:49,AM,0,1
2019-12-16,1:00,PM,1,1
